new hotels,"The two favorable characteristics hotel are:
1. new structure
2. price
In two we spent 70 euro per night including taxes but excluding breakfast. Booking a short time before we could not find any hotels with a lower price.
The new structure is as I said. You have to admit that it was very well designed to make a good impression by limiting spending as much as possible.
They are small things, however, affect the final cost of the structure and not seen at first glance. For example there is no hair dryer in all rooms, but you have to ask for it.
The reception delivers it for free but they have a tot: if dovessere be all out is likely to remain with wet hair.
The hotel is clean and it deserves a 7.
Nothing more. Who gave scores above probably has never seen facilities and services.
Condinuando with the description:
good cleaning, wi-fi, safe (in-room safe and unrestricted access to the lifts only with the magnetic key of the room), carpet in the bedrooms, bathrooms poorly lit. Staff unfriendly and unprofessional. We sent an email a week before our arrival and we never received a response. They have not surrendered a map, did not indicate the means closer, they did not say a word nor upon our arrival to our departure.
Never mind, we were informed, but they sure were not professional.
The rooms have all the mattresses, though neighbors. If you want a single mattress or rather a single duvet must pay 10 Û more (you get but also a kettle and tea bags).
You can safely save Û 10. The beds are still attached.
The hotel is far from downtown, close to the metro station Amstel.
To remember that the quickest way to get to the station is behind the hotel through the steps. If you do not do the steps lengthened the distance of approximately 300 meters. ",6.0,6.0,6.0,,,6.0,Makeda_01,"Venice, Italy",TripAdvisor,2011-09-12
"Convenient, modern, place","This hotel is very recent, but remains cold in its modernity. For instance LED and fluorescent lighting in the rooms may be efficient, but it isn't very welcoming. Also the beds could be better: they don't have a traditional matras, but rather a kind of 'fouton' on a matras. Because of the gap between the beds this was very inconvenient.
Very large hotel with only a handful elevators means long wait times in the morning when you want to get downstairs.
Rather noisy too: woken up in the middle of the night by some (drunk?) neighbours (but I guess that may happen in no matter which hotel in Amsterdam :-)  ), but also by ambulance sirens. 
Location is ok, because of a good metro connection within a 5 minutes walk.
Next time I'll look for another place, because the price wasn't cheap either.",6.0,6.0,4.0,6.0,6.0,8.0,Fly_Peter,Antwerp,TripAdvisor,2012-10-01
Big hotel again a little charmless away,"We stayed for 3 nights on the 6th floor of the left wing, is a great hotel if you compare the small buildings that are in Amsterdam, is a mini factory rooms, in the hall there are always people. This hotel has no charm, since it has nothing besides itself can habitacin.Con your key card access entry to the hall and to the use of the elevator. Pure business. It will take about 4 years back, the room is fine, big bed, clean, with tea, coffee and tea, fridge (is empty). The only problem is that is in the midst of more or less anything, bone appears as an office area, and just go there to go to sleep and that's it because there is nothing to do. Amstel Station is 4 minutes, which allows you to go downtown in 5 stops. (10 minutes) Central Station. The connection is reduced to tram line 12 that leads to the museum area of Van Gogh and National. So it is advisable to have a bonus day (we took 3 days) metro, bus and tram are 16 euros for 3 days.",6.0,6.0,6.0,6.0,4.0,6.0,MSzgz,"Zaragoza, Spain",TripAdvisor,2012-08-15
"Good hotel, but not for both. -","Good hotel, especially with regard to common areas (reception, restaurant, etc..). I recommend getting breakfast in the room, the buffet served pretty well. The rooms are somewhat disappointing, but comfortable. IKEA roll that does not justify some deficits. The ""stippled"" Wall and ceiling left me cold blood ...",6.0,6.0,6.0,4.0,8.0,8.0,EnClaveTrotamundos,"Brussels, Belgium",TripAdvisor,2012-08-11
Basic hotel and expensive,"Very disappointed with this hotel. Expensive for what you got and for a non central location. A basic, unwelcoming room. I was charged 10 euro for an adaptor, there was no option to borrow, even with a returnable deposit. 
Breakfast was nice",6.0,4.0,4.0,2.0,2.0,6.0,LadyIreland,Ireland,TripAdvisor,2012-05-11
Not quite comfortable accommodation in the center,"Hotel is easy to reach from Amstel Station. Walking distance to shopping, downtown, canals and sights can be reached. Hotel room with a fridge, kettle (tea and instant coffee is nachgefhlt), television and safe. Rooms are clean (carpets looked a little dingy). Unobtrusive and very friendly staff on contact. Breakfast and bar us was too expensive, but Amsterdam offers other possibilities. Check-in and check-out were a problem. On departure you can leave your luggage there and pick up in the evening (very courteous)! The hotel serves as Konferenz-/Tagungshotel, did not bother us.",6.0,10.0,,,,8.0,Stefan,,Hotels.com,2013-03-01
acceptable,"Newly built hotel, modern, not in the center, but the metro station, tram and bus comoda.Camera spacious (we were 3) bathroom without window with doccia.Pulizie accettabili.Frigo for use personale.Parcheggio 20 Euro per day.We've without breakfast, which we considered too expensive (though possibly in the lobby, there is a corner where they sell coffee, cappuccino & co.)
",6.0,6.0,6.0,6.0,6.0,6.0,mammarotty,,TripAdvisor,2013-07-11
A city to get around on two wheels.,"Hotel that has been proven to reception, pleasant staff who provided all the information for a good stay. The rooms are spacious, well furnished and equipped with kettle water heater to use for themselves to tea and coffee. On each floor there is an ironing room available for guests. The hotel also provides bicycles that can be rented at the reception and are the best way to see this city. The bike paths are too tempting and allow you to run both in the center and in the periphery (muiden is a small village 7 km from Amsterdam - worth a visit). We also appreciated the opportunity to make a quick breakfast at the corner next to the reception, of course, for those who love us as a coffee and croissant! Why 15 euro for that traditional table is a cost we think a little excessive. Nice also the bar upstairs, pleasant and very helpful staff. Overall a very pleasant stay",6.0,8.0,8.0,8.0,6.0,8.0,blandyBustoArsizio,BUSTO ARSIZIO,TripAdvisor,2012-08-21
a modern 3* hotel,"IÕve visited Amsterdam about 20 times. Given the TripAdvisor reviews I had high expectations but was disappointed. The room and bathroom were basic, very little space on the floor in the bedroom for a suitcase; the bathroom had lighting and a mirror but neither was well positioned for shaving. The shower lacked water pressure to the extent that only 30% of my body could get under the water at one time Ð IÕm an average size. Around the plastic hand basin were two cigarette butt burn marks (room 625); I appreciate they are not the fault of the hotel but they need to be sanded and polished out; there were no tissues. Trams run near the hotel for much of the night; whilst the hotel appears new and has double glazing the soundproofing (perhaps in the walls) is insufficient such that you can hear the rumble as trams pass by. A new multi storey building is being built next door and the hotel has thoughtfully put foam ear plugs in the bedrooms to minimise that disturbance Ð IÕd asked for a quiet room but needed the earplugs to shut out the noise of the trams Ð when one earplug came out during the night I woke up and had to put it back in before I could sleep again.
I booked via hotels.com and paid UK£110.96 however on arrival I was advised by the hotel that a local Amsterdam tourist tax was not included Ð after they had checked internally I was forced to pay this additional tax. I took exception to this additional charge of 4.60 euros as my receipt listed ÒTaxes and FeesÓ and quoted a ÒTotal PriceÓ. In my view it is not acceptable to quote a total price, bank the money and then for the customer to be hit with an additional unexpected charge that was not previously mentioned. The front desk personnel were polite and helpful but lacked the authority to correct this basic problem. 
The staff in the restaurant plentiful but spent their time talking amongst themselves instead of providing a good service. The food in the restaurant was OK but not cheap Ð a one course club sandwich lunch with soft drinks and coffee came to 18 euros each. 
The free Wi-Fi worked well and the bed was comfortable but at UK£115 for one night, room only, in early February in a suburb of Amsterdam did not to me represent good value for money; 85 euros / £70 would in my view have been more appropriate",4.0,4.0,2.0,4.0,4.0,4.0,SeriousTraveller01,London,TripAdvisor,2012-02-07
good for some nights,"I stayed on this Hotel for 3 nights. The hotel looks modern superficially. But the service and breakfast in particular are in big question mark. My bed sheets were not changed, the room was not cleaned very well. As this hotel caters for large overseas bus groups there were long time consuming lines at reception. The hotel is a long way from the city centre, only one restaurant nearby, so your only option is to take the metro to get anywhere. Fortunately, the metro is 5 minutes away.Casa 400 has a business model: rooms appear as cheap when you want to book, but you have to take into account that breakfast is not included (Û15). Want to have your breakfast in the vicinity? Good luck.",6.0,4.0,6.0,,,2.0,alvincenthanoi,"Hanoi, Vietnam",TripAdvisor,2011-08-11
Better intention from the employees than result from the Hotel,"I stayed one week for business.
I asked for a quiet room.
With good weather it was perfect but when it was raining heavily it was a nightmare.
The drops made a real noise when hitting the metal structure of the Hotel.
Unfortunately it rained heavily all the week!!!
Not to blame the receptionist of course.
The bath cleaning was not good. In one week you can easily understand it.
The breakfast was full of choice but the quality of the food was poor.
At dinner I eat there just once. Nothing to complain or to mention.
The Hotel, even if is not in the centre, is well connected with the subway, just a few minutes away.",4.0,4.0,4.0,8.0,8.0,8.0,SailorTicino,Ticino,TripAdvisor,2012-08-20
This is certainly better,"I'll start with the positive to: The subway station on the route to the city center is within walking distance in about 5 minutes, there are only a few stops to the city center and measured against some German city the price is moderate - that was it actually already. The location of the hotel is not very inviting, except during my stay there was a construction site next door. The room was spartan (probably should be modern, but it was not), the Empang and breakfast standard, not reasonable (carpet pretty dirty) was purified and Non smoking rooms found after cleaning cigarette ashes on a shelf by the window.",4.0,6.0,6.0,,6.0,6.0,gerbil9760,"Frankfurt, Germany",TripAdvisor,2011-10-24
"Modern, but not off to a good start","We requested a non-smoking room, which is not too much to ask in a non-smoking hotel.  However, as soon as we stepped into our room, the smell of stale smoke was apparent.  We phoned reception, and agreed to have someone spray the room.  However that did not completely eliminate the problem, as the stale smoke was actually in the towels.  Did this mean the person who previously stayed in this room smoked in the bathroom and contaminated the towels?  Therefore, were the towels changed before we arrived???
We were unfortunate to also experience another issue.  Whilst relaxing in our room, the door was unlocked and another client entered our room.  They had mistaken our room for theirs. But how did their security key work on our door?  We immediately contacted reception, who attended to this security issue immediately, cancelled our door key and gave us another.
2 big mistakes in one day, is a bit off putting to us.  We have been travelling around and not experienced anything quite like it before!",4.0,6.0,6.0,8.0,6.0,6.0,Lynette B,"Auckland Region, New Zealand",TripAdvisor,2012-09-14
"A little 'off the beaten track, but comfortable","I stayed in this hotel for 3 days in early July. It was a business trip and I shared the room (a room with two single beds) with a colleague. The hotel is ultra modern, spacious and youthful looking. The room was comfortable, very spacious with a large window and a desk very convenient for business travelers. In addition, the room is equipped with mini bar and safe. Daily cleaning is average, not great. I did not partake of breakfast, to be paid separately at a cost of around 12 Û per person, but in the lobby in the morning was opened a small eatery where to buy donuts, coffee, cappuccino and more cost-effective. It 'sa bit far from downtown, but about 5 minutes walk there is a tramway station and the subway. Overall it was a great stay. A tip: bring the hair dryer from home! Was missing in the room and we had to buy it!",6.0,8.0,8.0,8.0,6.0,6.0,Martha K,"Florence, Italy",TripAdvisor,2012-08-27
Ideal starting point for Amsterdam,"The hotel is excellent with the A2 respectively. To achieve S110 and saves a tedious task according to the booked accommodation in a strange city. The hotel has a well-secured underground parking (20 Û / 24 hours) and the metro station is 300 meters range. After a 15-minute drive leads to the PVN the heart of the city. The purchase of a 24-hour tickets (7.50 Û) has paid off for us. The hotel is stylish modern, the staff very helpful at the front desk and rooms - for this Sternekategoie - quite spacious. We had a room on the 10th Floor and it was very quiet. The bathroom also offers plenty of space. Only one point deduction in the assessment is concluded by the dirty bathroom: pubic and body hair on the floor and in the sink as well as tracks in the toilet. Here was cleaned carelessly. The breakfast, however, offers everything your heart desires. Croissonts tasted the best.",2.0,8.0,10.0,10.0,10.0,10.0,Franziskus K,"Cologne, Germany",TripAdvisor,2012-07-28
Away from the center but well connected,Good Hotel for a short stay in Amsterdam. Away from the center but well connected to the Amstel station 300 meters away and offers rental bicycles. Staff very helpful and pleasant. Cleaning the bathroom well but not so much room. The area has no appeal whatsoever with which you have to scroll forever.,6.0,8.0,6.0,8.0,4.0,8.0,Gadium,"Cadiz, Spain",TripAdvisor,2012-09-02
